memory_type,memory_size_gb,memory_speed_mhz,memory_latency,memory_voltage,memory_form_factor,memory_ecc_support,memory_heat_spreader,memory_rgb_lighting,memory_warranty_years
DDR4,5,2566,10.5,1.28,UDIMM,true,false,true,1
DDR3,11,831,11.6,1.25,SODIMM,false,false,false,2
DDR5,46,3010,15.8,1.47,DIMM,true,true,false,3
DDR4,53,1524,13.8,1.35,DIMM,false,false,false,3
DDR4,2,2738,18.3,1.22,DIMM,true,true,true,5
DDR5,39,3532,17.0,1.32,DIMM,true,false,true,4
DDR3,45,3071,13.0,1.29,UDIMM,false,true,false,3
DDR4,59,3709,19.9,1.39,DIMM,true,true,true,2
DDR3,63,1940,17.3,1.29,UDIMM,false,true,false,10
DDR4,9,3636,10.2,1.24,DIMM,false,true,true,10
DDR5,7,3857,12.3,1.38,DIMM,true,true,true,2
DDR3,62,2364,9.9,1.28,UDIMM,true,true,true,5
DDR4,33,3957,11.0,1.35,SODIMM,true,true,false,2
DDR5,45,2130,9.8,1.49,SODIMM,true,false,true,7
DDR3,22,2288,19.2,1.31,SODIMM,false,true,false,10
DDR3,7,3578,18.8,1.2,SODIMM,false,false,false,8
DDR5,23,2894,19.3,1.32,SODIMM,false,true,false,10
DDR5,57,3130,16.3,1.29,UDIMM,true,false,true,3
DDR3,51,841,15.9,1.38,UDIMM,true,true,true,6
DDR3,17,3718,11.4,1.33,SODIMM,false,false,true,9
DDR5,47,1035,11.1,1.47,UDIMM,false,true,true,10
DDR3,54,829,10.5,1.46,UDIMM,false,false,false,6
DDR3,61,2717,19.8,1.33,UDIMM,true,true,true,2
DDR3,29,4720,15.3,1.41,DIMM,false,true,false,1
DDR3,38,1582,15.8,1.29,SODIMM,false,true,true,8
DDR4,35,1392,12.2,1.41,UDIMM,true,false,true,2
DDR3,15,2914,9.7,1.32,SODIMM,false,true,true,8
DDR3,46,4658,14.7,1.32,DIMM,true,false,false,1
DDR5,39,1697,12.0,1.27,DIMM,true,true,false,8
DDR4,36,4455,12.9,1.42,DIMM,false,false,false,7
DDR3,28,3584,12.8,1.45,DIMM,false,true,true,6
